0.291: [GC (Allocation Failure) 262208K->345K(1004928K), 0.0012060 secs]
0.506: [GC (Allocation Failure) 262456K->447K(1004928K), 0.0007060 secs]
0.628: [GC (Allocation Failure) 262655K->447K(1004928K), 0.0006190 secs]
0.782: [GC (Allocation Failure) 262655K->447K(1004928K), 0.0006260 secs]
0.970: [GC (Allocation Failure) 262655K->447K(1004928K), 0.0005980 secs]
1.086: [GC (Allocation Failure) 262655K->447K(1048064K), 0.0006920 secs]
1.269: [GC (Allocation Failure) 348880K->435K(1047616K), 0.0007640 secs]
1.422: [GC (Allocation Failure) 348915K->435K(1047936K), 0.0002150 secs]
1.569: [GC (Allocation Failure) 348659K->435K(1047360K), 0.0002080 secs]
1.756: [GC (Allocation Failure) 348577K->435K(1047872K), 0.0002130 secs]
1.906: [GC (Allocation Failure) 348520K->435K(1047872K), 0.0004240 secs]
2.060: [GC (Allocation Failure) 348480K->435K(1047872K), 0.0002770 secs]
2.210: [GC (Allocation Failure) 348452K->435K(1047872K), 0.0002210 secs]
2.364: [GC (Allocation Failure) 348447K->435K(1047872K), 0.0002170 secs]
2.513: [GC (Allocation Failure) 348483K->435K(1047872K), 0.0002090 secs]
2.663: [GC (Allocation Failure) 348530K->435K(1047936K), 0.0002060 secs]
2.857: [GC (Allocation Failure) 348627K->435K(1047936K), 0.0002200 secs]
3.009: [GC (Allocation Failure) 348624K->435K(1048000K), 0.0002020 secs]
3.239: [GC (Allocation Failure) 348653K->435K(1047936K), 0.0002050 secs]
3.420: [GC (Allocation Failure) 348721K->435K(1048064K), 0.0002140 secs]
3.637: [GC (Allocation Failure) 348796K->435K(1048000K), 0.0002070 secs]
3.851: [GC (Allocation Failure) 348805K->435K(1048064K), 0.0002310 secs]
4.026: [GC (Allocation Failure) 348902K->435K(1048064K), 0.0002180 secs]
4.206: [GC (Allocation Failure) 348896K->435K(1048128K), 0.0002180 secs]
4.389: [GC (Allocation Failure) 348990K->435K(1048128K), 0.0002170 secs]
4.590: [GC (Allocation Failure) 348988K->435K(1048192K), 0.0002080 secs]
4.770: [GC (Allocation Failure) 349086K->435K(1048192K), 0.0002890 secs]
4.948: [GC (Allocation Failure) 349086K->435K(1048256K), 0.0002260 secs]
5.189: [GC (Allocation Failure) 349184K->435K(1048192K), 0.0002140 secs]
5.365: [GC (Allocation Failure) 349184K->435K(1048256K), 0.0002190 secs]
5.546: [GC (Allocation Failure) 349281K->435K(1048256K), 0.0002310 secs]
5.721: [GC (Allocation Failure) 349281K->435K(1048320K), 0.0002070 secs]
5.883: [GC (Allocation Failure) 349379K->435K(1048320K), 0.0001970 secs]
6.063: [GC (Allocation Failure) 349379K->435K(1048320K), 0.0002190 secs]
6.215: [GC (Allocation Failure) 349379K->435K(1048320K), 0.0002040 secs]
6.364: [GC (Allocation Failure) 349379K->435K(1048384K), 0.0002050 secs]
6.569: [GC (Allocation Failure) 349477K->435K(1048384K), 0.0002240 secs]
6.722: [GC (Allocation Failure) 349477K->435K(1048384K), 0.0002280 secs]
6.916: [GC (Allocation Failure) 349477K->435K(1048384K), 0.0003510 secs]
7.070: [GC (Allocation Failure) 349477K->435K(1048448K), 0.0002750 secs]
7.221: [GC (Allocation Failure) 349574K->435K(1048384K), 0.0002210 secs]
7.376: [GC (Allocation Failure) 349574K->435K(1048448K), 0.0002210 secs]
7.529: [GC (Allocation Failure) 349672K->435K(1048448K), 0.0002140 secs]
7.690: [GC (Allocation Failure) 349672K->435K(1048448K), 0.0002150 secs]
7.921: [GC (Allocation Failure) 349672K->435K(1048448K), 0.0002150 secs]
8.075: [GC (Allocation Failure) 349672K->435K(1048448K), 0.0002060 secs]
8.268: [GC (Allocation Failure) 349672K->435K(1048448K), 0.0002010 secs]
8.422: [GC (Allocation Failure) 349672K->435K(1048448K), 0.0002150 secs]
8.619: [GC (Allocation Failure) 349672K->435K(1048448K), 0.0002160 secs]
8.773: [GC (Allocation Failure) 349672K->435K(1048512K), 0.0002670 secs]
8.922: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002060 secs]
9.119: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002080 secs]
9.374: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002150 secs]
9.523: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002140 secs]
9.675: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002180 secs]
9.828: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002140 secs]
9.978: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002010 secs]
10.164: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002170 secs]
10.314: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002820 secs]
10.472: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002780 secs]
10.675: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002040 secs]
10.825: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002200 secs]
10.978: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002040 secs]
11.128: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002160 secs]
11.282: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002770 secs]
11.432: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002170 secs]
11.584: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002020 secs]
11.732: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002040 secs]
11.978: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0003230 secs]
12.127: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002190 secs]
12.281: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002160 secs]
12.524: [GC (Allocation Failure) 349770K->435K(1048512K), 0.0002200 secs]
