#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 28289.00         	 6.000000   	 0.34           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 31677.00         	 6.000000   	 0.30           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 26454.00         	 5.000000   	 0.36           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 32719.00         	 5.000000   	 0.29           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 31288.00         	 4.000000   	 0.30           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 28689.00         	 5.000000   	 0.33           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 107205.00        	 13.000000  	 0.44           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 98681.00         	 10.000000  	 0.48           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 99234.00         	 12.000000  	 0.48           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 107877.00        	 15.000000  	 0.44           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 113515.00        	 11.000000  	 0.42           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 91274.00         	 10.000000  	 0.52           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 91081.00         	 10.000000  	 0.52           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 103268.00        	 12.000000  	 0.46           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 96492.00         	 10.000000  	 0.49           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 102148.00        	 11.000000  	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 101041.00        	 5.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 96468.00         	 6.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 105277.00        	 5.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 108704.00        	 4.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 111553.00        	 5.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 103906.00        	 7.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 104957.00        	 5.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 119806.00        	 5.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 105915.00        	 5.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 107602.00        	 5.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 152569.00        	 4.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 133742.00        	 5.000000   	 0.07           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 127744.00        	 6.000000   	 0.07           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 139930.00        	 6.000000   	 0.07           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 125123.00        	 6.000000   	 0.08           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 147714.00        	 5.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 120783.00        	 5.000000   	 0.08           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 130249.00        	 5.000000   	 0.07           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 131877.00        	 6.000000   	 0.07           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 135117.00        	 5.000000   	 0.07           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 473269.00        	 10.000000  	 0.10           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 534591.00        	 9.000000   	 0.09           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 480283.00        	 12.000000  	 0.10           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 484738.00        	 18.000000  	 0.10           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 477642.00        	 12.000000  	 0.10           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 518323.00        	 12.000000  	 0.09           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 479693.00        	 13.000000  	 0.10           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 478876.00        	 10.000000  	 0.10           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 467303.00        	 10.000000  	 0.10           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 472398.00        	 10.000000  	 0.10           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 100000       	 207194.00        	 5.000000   	 0.02           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 100000       	 227947.00        	 4.000000   	 0.02           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 100000       	 224615.00        	 5.000000   	 0.02           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 100000       	 209577.00        	 5.000000   	 0.02           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 100000       	 222953.00        	 7.000000   	 0.02           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 100000       	 221800.00        	 5.000000   	 0.02           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 100000       	 198907.00        	 4.000000   	 0.02           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 100000       	 220945.00        	 5.000000   	 0.02           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 100000       	 215861.00        	 5.000000   	 0.02           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 100000       	 204150.00        	 4.000000   	 0.02           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 100000       	 288071.00        	 4.000000   	 0.03           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 100000       	 255376.00        	 5.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 100000       	 246284.00        	 4.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 100000       	 262306.00        	 5.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 100000       	 253462.00        	 5.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 100000       	 266502.00        	 5.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 100000       	 251123.00        	 4.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
